Sample_ID,category1,category2,Kingdom,Phylum,Class,Order,value
AA96,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA98,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA99,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA1,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA10,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0.078326996
LAA11,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA12,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA13,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA15,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0.29880137
LAA17,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA18,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0.041097388
LAA2,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA20,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA22,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA23,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0.026743838
LAA24,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA26,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA27,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA28,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
LAA29,larvae,field larvae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0.02907011
