ID,Treatment,Day_Pupation
527,Conventionally Reared,14
528,Conventionally Reared,14
529,Conventionally Reared,14
530,Conventionally Reared,14
531,Conventionally Reared,14
532,Conventionally Reared,14
533,Conventionally Reared,14
534,Conventionally Reared,14
535,Conventionally Reared,15
536,Conventionally Reared,15
537,Conventionally Reared,15
538,Conventionally Reared,15
539,Conventionally Reared,15
540,Conventionally Reared,15
541,Conventionally Reared,15
542,Conventionally Reared,15
543,Conventionally Reared,15
544,Conventionally Reared,15
545,Conventionally Reared,15
546,Conventionally Reared,15
547,Conventionally Reared,15
548,Conventionally Reared,15
549,Conventionally Reared,15
550,Conventionally Reared,15
551,Conventionally Reared,15
552,Conventionally Reared,15
553,Conventionally Reared,15
554,Conventionally Reared,15
555,Conventionally Reared,15
556,Conventionally Reared,15
557,Conventionally Reared,16
558,Conventionally Reared,16
559,Conventionally Reared,16
560,Conventionally Reared,16
561,Conventionally Reared,16
562,Conventionally Reared,16
563,Conventionally Reared,16
564,Conventionally Reared,16
565,Conventionally Reared,16
566,Conventionally Reared,16
567,Conventionally Reared,16
568,Conventionally Reared,16
569,Conventionally Reared,16
570,Conventionally Reared,16
571,Conventionally Reared,17
572,Conventionally Reared,17
573,Conventionally Reared,17
574,Conventionally Reared,17
575,Conventionally Reared,17
576,Conventionally Reared,17
577,Conventionally Reared,17
578,Conventionally Reared,17
579,Conventionally Reared,17
580,Conventionally Reared,18
581,Conventionally Reared,18
582,Conventionally Reared,18
583,Conventionally Reared,18
584,Conventionally Reared,18
585,Conventionally Reared,18
586,Conventionally Reared,18
587,Conventionally Reared,19
588,Conventionally Reared,19
589,Conventionally Reared,19
590,Conventionally Reared,19
591,Conventionally Reared,19
592,Conventionally Reared,20
593,Conventionally Reared,20
594,Conventionally Reared,20
595,Conventionally Reared,20
596,Conventionally Reared,20
597,Conventionally Reared,20
598,Conventionally Reared,20
599,Conventionally Reared,21
600,Conventionally Reared,22
602,Reintroduced Community,14
603,Reintroduced Community,16
604,Reintroduced Community,16
605,Reintroduced Community,19
606,Reintroduced Community,19
607,Reintroduced Community,20
608,Reintroduced Community,21
610,Reintroduced Community,15
611,Reintroduced Community,16
612,Reintroduced Community,16
613,Reintroduced Community,16
614,Reintroduced Community,17
615,Reintroduced Community,17
616,Reintroduced Community,20
617,Reintroduced Community,22
619,Reintroduced Community,16
620,Reintroduced Community,17
621,Reintroduced Community,17
622,Reintroduced Community,20
623,Reintroduced Community,21
624,Reintroduced Community,22
628,Reintroduced Community,15
629,Reintroduced Community,15
630,Reintroduced Community,15
631,Reintroduced Community,15
632,Reintroduced Community,15
633,Reintroduced Community,17
634,Reintroduced Community,19
635,Reintroduced Community,22
639,Reintroduced Community,17
640,Reintroduced Community,17
641,Reintroduced Community,19
642,Reintroduced Community,20
643,Reintroduced Community,21
644,Reintroduced Community,22
645,Reintroduced Community,22
646,Reintroduced Community,22
647,Reintroduced Community,23
649,Reintroduced Community,15
650,Reintroduced Community,15
651,Reintroduced Community,16
652,Reintroduced Community,16
653,Reintroduced Community,20
654,Reintroduced Community,22
655,Reintroduced Community,24
659,Reintroduced Community,16
660,Reintroduced Community,16
661,Reintroduced Community,16
662,Reintroduced Community,17
663,Reintroduced Community,17
664,Reintroduced Community,18
665,Reintroduced Community,19
667,Reintroduced Community,14
668,Reintroduced Community,15
669,Reintroduced Community,16
670,Reintroduced Community,17
671,Reintroduced Community,19
672,Reintroduced Community,24
673,Reintroduced Community,25
676,Reintroduced Community,14
677,Reintroduced Community,15
678,Reintroduced Community,15
679,Reintroduced Community,15
680,Reintroduced Community,15
681,Reintroduced Community,18
682,Reintroduced Community,21
683,Reintroduced Community,22
686,Reintroduced Community,14
687,Reintroduced Community,14
688,Reintroduced Community,15
689,Reintroduced Community,16
690,Reintroduced Community,18
691,Reintroduced Community,19
692,Reintroduced Community,19
693,Reintroduced Community,24
695,Reintroduced Community,15
696,Reintroduced Community,15
697,Reintroduced Community,16
698,Reintroduced Community,16
699,Reintroduced Community,16
700,Reintroduced Community,17
701,Reintroduced Community,20
705,Reintroduced Community,14
706,Reintroduced Community,16
707,Reintroduced Community,18
708,Reintroduced Community,19
709,Reintroduced Community,20
710,Reintroduced Community,20
711,Reintroduced Community,22
712,Reintroduced Community,23
714,Reintroduced Community,16
715,Reintroduced Community,17
716,Reintroduced Community,17
717,Reintroduced Community,18
718,Reintroduced Community,21
719,Reintroduced Community,23
723,Reintroduced Community,15
724,Reintroduced Community,15
725,Reintroduced Community,15
726,Reintroduced Community,17
727,Reintroduced Community,19
728,Reintroduced Community,20
733,Reintroduced Community,17
734,Reintroduced Community,17
735,Reintroduced Community,17
736,Reintroduced Community,18
737,Reintroduced Community,19
738,Reintroduced Community,20
739,Reintroduced Community,20
740,Reintroduced Community,20
743,Reintroduced Community,15
744,Reintroduced Community,16
745,Reintroduced Community,16
746,Reintroduced Community,16
747,Reintroduced Community,17
748,Reintroduced Community,18
749,Reintroduced Community,18
750,Reintroduced Community,19
751,Reintroduced Community,19
752,Reintroduced Community,23
753,Reintroduced Community,24
754,Reintroduced Community,15
755,Reintroduced Community,15
756,Reintroduced Community,16
757,Reintroduced Community,17
758,Reintroduced Community,17
759,Reintroduced Community,20
760,Reintroduced Community,20
761,Reintroduced Community,23
764,Reintroduced Community,15
765,Reintroduced Community,15
766,Reintroduced Community,17
767,Reintroduced Community,18
